# RUT_GreySea enrichment plan — SEA_ENRICHMENT_LANDMARKS_1
# Sheets: design/Jawa/worldbuilding/biomes/terminator_sea.md (surface/shore law, FROZEN) +
#         the_grey_deep.md (bottom, deferred implementation; "statuary", shrinking fastest).
# Before: 429 tiles, ZERO carried a landmark (the review's flagged deficiency). Target: ~65% coverage
# (279 tiles), 279 new landmark rows.
# Same gate discipline as the Twilight plan: coastSides=0..0 / no-coast or maxHilliness=Flat only —
# every RUT_GreySea tile is Flat and none are coastal in the census. No fauna added (hard ban).
# IceDunes and Crevasse are weighted heavier here than on the Twilight plan because the Grey Sea is
# canon's coldest/fastest-shrinking of the two (terminator_sea.md Sec.2: "salt-encrusted, shrinking").
# Lore fit per def:
#   IceDunes          - proven already placed on this exact biome (5 live tiles) — the retreating
#                       sea's wind-raked ice fringe, thickest here of the two seas. Primary pick.
#   Crevasse          - a fracture in that same ice fringe; gated coastSides=0..0, safe mid-sea.
#   VEE_GravelBeach   - the stranded-shoreline terrace, this sheet's central retreat image (Sec.1),
#                       reused from the proven Twilight placement — same sea family, same mechanism.
#   Harbor            - Deepwater/Homesteader holdings drawing the last of the brine's fog-condensate.
#   AncientSmokeVent  - the salt-buried, wind-scoured war ruin (Sec.8), leaking gas into saturating brine.
tile,action,def
268,landmark,IceDunes
449,landmark,Harbor
704,landmark,AncientSmokeVent
705,landmark,IceDunes
750,landmark,AncientSmokeVent
986,landmark,VEE_GravelBeach
989,landmark,VEE_GravelBeach
990,landmark,VEE_GravelBeach
1244,landmark,AncientSmokeVent
1248,landmark,IceDunes
1249,landmark,Crevasse
1290,landmark,Crevasse
1291,landmark,IceDunes
1602,landmark,Crevasse
1606,landmark,VEE_GravelBeach
2235,landmark,IceDunes
2237,landmark,Crevasse
2238,landmark,AncientSmokeVent
2239,landmark,VEE_GravelBeach
2251,landmark,VEE_GravelBeach
2409,landmark,VEE_GravelBeach
2410,landmark,AncientSmokeVent
2412,landmark,VEE_GravelBeach
2413,landmark,Crevasse
2415,landmark,AncientSmokeVent
2420,landmark,AncientSmokeVent
2426,landmark,IceDunes
2428,landmark,Harbor
2429,landmark,IceDunes
2864,landmark,Crevasse
2865,landmark,Harbor
2868,landmark,Harbor
2869,landmark,VEE_GravelBeach
2911,landmark,AncientSmokeVent
3854,landmark,Crevasse
3855,landmark,IceDunes
3856,landmark,Harbor
3857,landmark,VEE_GravelBeach
3858,landmark,IceDunes
3859,landmark,IceDunes
4028,landmark,IceDunes
4029,landmark,IceDunes
4030,landmark,Crevasse
4040,landmark,Harbor
4046,landmark,Crevasse
4048,landmark,VEE_GravelBeach
4049,landmark,AncientSmokeVent
4051,landmark,Crevasse
5100,landmark,Harbor
5108,landmark,VEE_GravelBeach
5109,landmark,VEE_GravelBeach
5111,landmark,Harbor
5113,landmark,Crevasse
5114,landmark,AncientSmokeVent
5115,landmark,IceDunes
5116,landmark,VEE_GravelBeach
5117,landmark,Crevasse
5119,landmark,AncientSmokeVent
6643,landmark,VEE_GravelBeach
6646,landmark,Crevasse
6650,landmark,AncientSmokeVent
6652,landmark,Crevasse
6653,landmark,IceDunes
6655,landmark,VEE_GravelBeach
6656,landmark,VEE_GravelBeach
6657,landmark,IceDunes
6659,landmark,Crevasse
6663,landmark,Harbor
6668,landmark,VEE_GravelBeach
6670,landmark,Crevasse
6674,landmark,IceDunes
6675,landmark,IceDunes
6676,landmark,Harbor
6778,landmark,VEE_GravelBeach
6780,landmark,IceDunes
6896,landmark,IceDunes
6900,landmark,AncientSmokeVent
6901,landmark,Crevasse
6915,landmark,Crevasse
6920,landmark,Harbor
6921,landmark,Harbor
6922,landmark,Harbor
6926,landmark,Crevasse
6927,landmark,VEE_GravelBeach
6930,landmark,Crevasse
7724,landmark,Crevasse
7726,landmark,Crevasse
7727,landmark,Crevasse
7728,landmark,Crevasse
7766,landmark,Crevasse
7767,landmark,IceDunes
8889,landmark,IceDunes
8892,landmark,Crevasse
8893,landmark,Harbor
8897,landmark,Harbor
8910,landmark,AncientSmokeVent
8911,landmark,Harbor
9973,landmark,IceDunes
9975,landmark,AncientSmokeVent
9977,landmark,Crevasse
9979,landmark,VEE_GravelBeach
11504,landmark,VEE_GravelBeach
11506,landmark,Crevasse
11507,landmark,VEE_GravelBeach
11510,landmark,AncientSmokeVent
11512,landmark,IceDunes
11513,landmark,Crevasse
11514,landmark,Crevasse
11515,landmark,IceDunes
11516,landmark,VEE_GravelBeach
11527,landmark,Crevasse
11529,landmark,VEE_GravelBeach
11530,landmark,Crevasse
11531,landmark,Crevasse
11534,landmark,VEE_GravelBeach
11536,landmark,VEE_GravelBeach
11638,landmark,IceDunes
11760,landmark,IceDunes
11774,landmark,Crevasse
11775,landmark,IceDunes
11781,landmark,VEE_GravelBeach
11784,landmark,Harbor
11785,landmark,Harbor
11786,landmark,Crevasse
11787,landmark,AncientSmokeVent
11788,landmark,IceDunes
11789,landmark,Harbor
13196,landmark,Harbor
13197,landmark,IceDunes
13199,landmark,VEE_GravelBeach
13201,landmark,AncientSmokeVent
13208,landmark,VEE_GravelBeach
13209,landmark,IceDunes
13210,landmark,Crevasse
13212,landmark,Crevasse
13213,landmark,IceDunes
13214,landmark,AncientSmokeVent
13215,landmark,AncientSmokeVent
13216,landmark,VEE_GravelBeach
13218,landmark,AncientSmokeVent
13226,landmark,AncientSmokeVent
13228,landmark,Crevasse
13230,landmark,Harbor
13231,landmark,AncientSmokeVent
13558,landmark,VEE_GravelBeach
14744,landmark,VEE_GravelBeach
14746,landmark,IceDunes
14747,landmark,Crevasse
14749,landmark,Harbor
14750,landmark,VEE_GravelBeach
14751,landmark,Crevasse
14754,landmark,Crevasse
14756,landmark,IceDunes
14757,landmark,AncientSmokeVent
14759,landmark,VEE_GravelBeach
14760,landmark,VEE_GravelBeach
14762,landmark,Harbor
14763,landmark,VEE_GravelBeach
14764,landmark,Harbor
14765,landmark,VEE_GravelBeach
14766,landmark,IceDunes
14767,landmark,AncientSmokeVent
14768,landmark,AncientSmokeVent
14772,landmark,AncientSmokeVent
14773,landmark,AncientSmokeVent
14774,landmark,IceDunes
14776,landmark,Crevasse
14778,landmark,Harbor
14779,landmark,IceDunes
14996,landmark,AncientSmokeVent
14998,landmark,IceDunes
14999,landmark,IceDunes
15000,landmark,Harbor
15020,landmark,VEE_GravelBeach
15021,landmark,Harbor
15022,landmark,IceDunes
15023,landmark,VEE_GravelBeach
15026,landmark,VEE_GravelBeach
15027,landmark,Harbor
15028,landmark,Crevasse
15030,landmark,Crevasse
16891,landmark,VEE_GravelBeach
16893,landmark,IceDunes
16897,landmark,IceDunes
16917,landmark,VEE_GravelBeach
16918,landmark,IceDunes
16919,landmark,VEE_GravelBeach
16921,landmark,AncientSmokeVent
20689,landmark,Crevasse
20690,landmark,AncientSmokeVent
20691,landmark,AncientSmokeVent
20694,landmark,AncientSmokeVent
20696,landmark,VEE_GravelBeach
20697,landmark,IceDunes
20701,landmark,Crevasse
20702,landmark,IceDunes
20703,landmark,Crevasse
20707,landmark,VEE_GravelBeach
20708,landmark,Crevasse
