action,source,destination,tier,new_packageId,fate,confidence,note
stay,RimMandrake/Aftermath,,RimMandrake,mandrake.rm.chronicle,,HIGH,R5: renamed RimChronicle — hookable game-event evidence engine; GATED on CHRONICLE_EVENT_SPINE_1 (ba1f167f) before the Chronicle/Property/Pursuit merges land
stay,RimMandrake/FluidCanals,,RimMandrake,,,HIGH,mechanic; species/biome-agnostic
stay,RimMandrake/Graffiti,,RimMandrake,,,HIGH,R7 RULED: keeps engine + absorbs SacredGraffiti C#; NEW authoring task — generic vanilla-style default marks (R6 pattern)
stay,RimMandrake/Inhabited,,RimMandrake,,,HIGH,ruling 8: keeps its name; AshkarrInhabited stays the campaign layer
stay,RimMandrake/Ninefold,,RimMandrake,,,HIGH,R2 RULED: stays separate; RM engine (also a consumer of RimChronicle events); RUT Salvation is the NEW data pack
stay,RimMandrake/Oracle,,RimMandrake,,,HIGH,mechanic; claude -p transport rewrite is its own item
stay,RimMandrake/Pits,,RimMandrake,,,HIGH,the naming exemplar; mechanic
stay,RimMandrake/Property,,RimMandrake,,,HIGH,R1 RULED: folder renames RimProperty; packageId stays mandrake.rm.property (grammar-closest — avoids the mandrake.rm.rimproperty stutter; zero MayRequire churn)
merge-into,RimMandrake/SalvageClaim,RimMandrake/RimProperty,RimMandrake,mandrake.rm.property,,HIGH,R1 RULED: crime merge confirmed
merge-into,RimMandrake/TheftHauler,RimMandrake/RimProperty,RimMandrake,mandrake.rm.property,,HIGH,R1 RULED: merge confirmed; droid-loader wiring stays a MayRequire patch (resolves the tier-inversion worry)
stay,RimMandrake/RaidRedesigner,,RimMandrake,,,HIGH,distinct concern (persistent NPC roster) despite Property dep; mechanics stay
stay,RimMandrake/StructureInjections,,RimMandrake,,,HIGH,ruling 1 exemplar engine of the structures domain
merge-into,RimMandrake/Visibility,RimMandrake/RimPursuit,RimMandrake,mandrake.rm.pursuit,,HIGH,R3 RULED: Visibility + pursuit engine = RimPursuit (hiding helps when pursued); id mandrake.rm.pursuit picked over rm.rimpursuit stutter
stay,RimMandrake/WreckedMachines,,RimMandrake,,,MEDIUM,Kolyska/Rekko hits are comments/register only — the naming plan's expected RUT extraction is EMPTY today
stay,RimMandrake/StrandedQuest,,RimMandrake,,,VERIFY,naming plan Phase-1 VERIFY never resolved: read its 2 quest defs' text in sprint; campaign flavor would re-tier it RUT
stay,RimMandrake/MandrakePatches,,RimMandrake,,,HIGH,RM patches cell; destination for 6 RM fix folds + 8 RM Jawa_Patches files
stay,RimMandrake/RustChrome,,RimMandrake,,,HIGH,art cell RM; whole-game UI skin stands alone
stay,RimMandrake/LoadTracer,,RimMandrake,,,HIGH,dev-only diagnostic mod; never ships
stay,RimMandrake/PlanetPresetPrime,,RimMandrake,,,HIGH,dev-only ergonomics mod
stay,RimMandrake/RimDefDump,,RimMandrake,,,HIGH,dev-only dump tooling mod
split,RimMandrake/SacredGraffiti/Source/SacredGraffiti.cs,RimMandrake/Graffiti,RimMandrake,mandrake.rm.graffiti,,HIGH,RitualOutcomeEffectWorker_PlaceSacredMark is the reusable mechanism — engine side
split,RimMandrake/SacredGraffiti/Defs/SacredMarks.xml,RimUtinni/Salvation,RimUtinni,mandrake.rut.salvation,,HIGH,nine Salvation-god wall-marks; Graffiti About already anticipates a rut marks id
split,RimMandrake/SacredGraffiti/Defs/RitualOutcomeEffects.xml,RimUtinni/Salvation,RimUtinni,mandrake.rut.salvation,,HIGH,mark-placement RitualOutcomeEffectDef; unreferenced until Matrix build — moves with the marks
merge-into,RimMandrake/DesertVehicleReskin,RimStarWars/StarWarsPatches,RimStarWars,mandrake.rsw.patches,folds-into-patches,HIGH,R11 per NAMING_SCHEME_PLAN tie-break amendment (aesthetic reskins take the tier of the aesthetic); fold rides R4 machinery
merge-into,RimMandrake/GravshipAstronautFix,RimMandrake/MandrakePatches,RimMandrake,mandrake.rm.patches,folds-into-patches,HIGH,donor vanillaexpanded.gravship stays; 3 textures
merge-into,RimMandrake/PhytokinBarkHeadFix,RimMandrake/MandrakePatches,RimMandrake,mandrake.rm.patches,folds-into-patches,HIGH,donor vanillaracesexpanded.phytokin stays; 1 texture
merge-into,RimMandrake/ResearchKitEastFix,RimMandrake/MandrakePatches,RimMandrake,mandrake.rm.patches,folds-into-patches,HIGH,donor PeteTimesSix.ResearchReinvented stays; 4 textures
merge-into,RimMandrake/SauridFrillFix,RimMandrake/MandrakePatches,RimMandrake,mandrake.rm.patches,folds-into-patches,HIGH,donor vanillaracesexpanded.saurid stays; 1 texture
merge-into,RimMandrake/ToolBeltFix,RimMandrake/MandrakePatches,RimMandrake,mandrake.rm.patches,folds-into-patches,HIGH,donor VanillaExpanded.VAEAccessories stays; 1 texture
exempt,RimMandrake/Utils,,,,,HIGH,tooling; no About.xml; naming scheme §1 exemption
exempt,RimMandrake/bridgetools,,,,,HIGH,tooling; no About.xml
exempt,RimMandrake/mapsynth,,,,,HIGH,tooling; no About.xml
exempt,RimMandrake/rimflow,,,,,HIGH,tooling; no About.xml
stay,RimStarWars/Armoury,,RimStarWars,,,HIGH,weapons cell RSW; absorbs IonWeapons; all 13 Patches triaged SW-generic (doctrine word = damage math not theology)
extract,RimStarWars/Armoury/Defs/ThingDefs/Absorbed_SovSith_Genes.xml,RimStarWars/StarWarsRaces,RimStarWars,mandrake.rsw.starwarsraces,,MEDIUM,genes are races-domain content sitting in the weapons mod
extract,RimStarWars/Armoury/Defs/ThingDefs/Absorbed_SovSith_HeadTypes.xml,RimStarWars/StarWarsRaces,RimStarWars,mandrake.rsw.starwarsraces,,MEDIUM,headtypes are races-domain content sitting in the weapons mod
extract,RimStarWars/Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_RulePacks_DroidNameMakers.xml,RimStarWars/Droidworks,RimStarWars,mandrake.rsw.droidworks,,VERIFY,droid namer rulepacks belong to droids domain; check which kinds reference them first
merge-into,RimStarWars/JawaIonWeapons,RimStarWars/Armoury,RimStarWars,mandrake.rsw.armoury,,HIGH,6 defs + C# into weapons cell; ResearchRetag MayRequires BOTH ids — rewrite required
stay,RimStarWars/SWBestiary,,RimStarWars,,,HIGH,fauna cell RSW destination; already the absorbed-creature home; Mlie absorption lands here too
