sheet,temp,physics,weather,precipitation,dust_ash,fuel,wood,plant_growth,animals,food,behavior_law,disease_clock
dune_sea,"θ0-40; +70→+52 constant","eternal noon × radial inward wind","none stated; wind eternal","BANNED: no fog/condensate ever","dust drains inward to substellar","NONE; fire banned","NONE","dormancy in years; no exemption named","giants-or-grains sparse","NONE (giant mass only)","latent dormancy; no ambush","sterile sand; no clock"
deep_desert,"arc 50-69; 29-43C","dayside × distance-from-water; superrotating wind claim","clear; sandstorms","none; rare unexplained flood","sandstorms seed/bury","scarcity: fire=sacred treasure","silverbole (flame-immune)","no fast growth (cites R-H2b self-extension)","appraising sand-swimmers; no herds","eggs-as-water","attack is water-arithmetic","no rot ban; no clock"
desert,"arc 60-88; 24.5C","low fixed sun × shade-patch geometry","clear; smoke-haze events","none; dew at shade lines","ash ARRIVES from Pyrelands; shadow-lee sink","NONE","NONE","meagre-steady; stale explosive ban","steady small herds+megafauna","reliable game","nothing pursues; patch commons","SILENT"
arid_shrubland,"arc 70-95; 18.3C med","Hadley fog plumes × flat terrain","wind always; Stall/Gale","fog off nightside wind","sand banned; farm barrens wakes","dead venomvine fuel","ancient sweetline trees","crops poor; no exemption named","small/medium/void/huge ladder","interface protein","large-band void","SILENT"
wasteland,"arc 73-129; +27..-35C","drains (hydro/atmo/war) × no outlet","ash storms; radiation halos; plasma storms","none (ban)","sink of Hadley exhaust","plant-vault ore superlative","NONE","glacially slow; no exemption","wretched mutants few","preserved larder","ground is the threat","rot runs slow; no clock"
fall_line,"θ40-65; 42C med","superrotating-wind lee × orbital deposition","debris-strike ambient","none (median 0mm)","wind-sorted debris scars","wreck power cells","NONE","wreck-gated","feral vermin transient","falling stores","flee-prone","SILENT"
forsaken_crags,"arc 99-121; -14 med","turbulence kills circulation × tholin Dark","Dark/Unveiling/Etchfall/Witchfire","chemical etch-drizzle never water","tholins from Umbra","tholin harvest; gust power","NONE","glow-flora; rate unstated","13-species nocturnal family","gourmet fungus","gust-pulse life","SILENT"
nightside_ice,"arc 128-159; -56 med","cold-trap × katabatic × dirty ice","aurora-clear; thaw pulse","none interior (ban) vs sky-dropped ice paradox","rime/ablation margins","explicitly not fuel","NONE","does-not-grow catalyses; centuries","sessile sheets; tunnelers","NONE","thermal-only sensing","SILENT"
poison_forest,"θ75-105; 'just above freezing' (unreconciled)","terminator × cold pressure vents","NO WEATHER TABLE","condensation/dew; snow does not lie","deposits dayside dust into tissue","vent gas","metal-plated trunks (ore)","stunted (R-H2b exemption)","slow sealed-or-poisoned","toxic delicacy meat","nothing fast","SILENT"
terminator_sea,"θ63-117; +14 @θ90","antistellar-sink wind × hypersaline terminal","permanent one-way wind; no calm","thin advection fog only","salt flakes → downwind drifts","NONE","blade-sheet (stale monopoly claim)","century blades; no exemption named","few enormous endemic solitaries","one carcass = a season","no herds/schools (surface+shore)","SILENT"
the_blue_desert,"arc 126-143; -44.4 med (phase-side internal conflict)","propane phase line × ablation","Clear/Haze/ice-sand/ice fog","hydrocarbon haze; blowing ice sand","katabatic ablation source","hydrocarbon flora + Burner glands","crystal-wood","plants stay small; rate unstated","0.5 sparsest; Swallowers/Burners","NONE (fuel not food)","warmth is detonation","90d; 'healthiest' double-claim"
the_propane_lakes,"arc 145-170; -64 med","aurora reconnection × two solvents","fuel snow; dry lightning; reconnection storms","hydrocarbon/ammonia snow (mechanism stated)","Umbra manufactures crags tholins","propane sea (superlative)","crystal wood","crystal flora 1-day regrow","most alien cast; Burners","NONE","burn to move","110d"
the_lantern_deeps,"injected ≤-40C hosts","crust anomaly × ground currents","Calm only (enclosed)","seep-down solutions","NONE","lanternstone; power cells","mushroom logs","crystal accretion slow","crystals AS creatures 4.5","fungi","light draws","SILENT"
the_rot,"arc 89-130; -19 med","fallout gut × fungal thermogenesis","Sheen-fall; spore events","fungal emission; milk ponds","receives stormwall fallout","blastpod chemfuel","Agarilux mushroom-wood","fast (fungal)","hybrid-or-out fauna","gourmet teas","health-sharing","35d ('fastest' claim false vs Miasma)"
the_slime,"θ84-99; 13.4C mildest","terminator confluence × disarmed archive","Clear; slime rain","organism-induced potable rain (carve-out)","NONE","NONE","NONE","fastest regrow 13d","resistant-or-converting","endless barely-food","read-or-be-read","donor empty; conversion ~1wk"
the_contagion,"peaks ~arc 48; 41C; 973mm","altitude rain × UV cage","Bloom/Burn; scald rain","real water rain (R-H1 exception)","spore blooms exported downwind","NONE","half-transformed trees unharvested","buds every Bloom","density 3; short-lived Unfinished","NONE (forage 0.1)","UV-shy or UV-armored","no clock; mutation hediff"
the_cracked_lands,"arc 53-102; 27 med","flash-flood × canyon shade","clear/still; sandstorms; dry lightning","none in canyons; flood from peaks","sandstorms on flats","NONE","occasional twisted trees","EXPLOSIVE born here (water-soaked)","time-sorted Sealed/Spenders/Patient","soil cisterns fish bloom","NO truce (27 water tiles unresolved)","SILENT"
weeping_stones,"arc 26-80; 35.5 med","wet-wind dew comb × high stone","clear+windy; fog at wind-hour","dew combed; RARE RAIN (conflicts R-H1+own ban)","NONE","NONE","NONE","unstated","1.5 pilgrimage density; comb natives","pools; bladder-fruit","THE TRUCE at open water","SILENT"
