# Wasteland enrichment plan — part of BIOME_ENRICHMENT_DESERT_WASTELAND_1
# Sheet: design/Jawa/worldbuilding/biomes/wasteland.md (FROZEN, BIOME_FREEZE_FABLE_REVIEW_1)
# Before: 1126 tiles, 709 zero-mutator (63%). Target: ~35% zero (394), so 315 tiles touched, 441 rows.
# No anomaly entities, no bioweapon-class lifeforms, wildlife never the headline threat, no unmarked
# wildlife (hard bans Sec.6) — every pick below is ground/air/water hazard or salvage, not a creature def.
# Lore fit per def:
#   AB_AmbientRadiation        - the radiation-halo storms' baseline dose (Sec.4b); the core anomaly.
#   GL_Crater                  - the war-ground family's "vitrified craters" (Sec.8 mutator table).
#   VEE_WastelandFauna         - named for exactly this biome's "leveraging few" extremophile life,
#                                never unmarked ordinary wildlife (Sec.4, hard ban #4).
#   VEE_PoisonousFlora         - "the vegetation is the dosimeter" — radiotroph growth over hot ground
#                                (Sec.4 "the leveraging few").
#   VEE_ContaminatedReservoir  - a hypersaline/brine-battery pool, the sea's display-case chemistry
#                                pulled onto the flats (Sec.4 "the brine batteries").
#   VEE_MineableComponentSpacer- "war salvage priced in dose" — buried arsenals and tech caches (Sec.7).
#   AncientToxVent             - trapped enrichment from the terminator pockets family (Sec.8 table).
#   VEE_ContaminatedRiver      - the hydrological drain: "every river branch ends in a dead salt plain"
#                                (Sec.2, Sec.0 founding doctrine) — gated maxHilliness=Flat (basins).
#   VEE_CraterLake             - a hypersaline pool proper, gated Flat + no-coast (matches the basin
#                                family's low elevation, Sec.0 table).
tile,action,def
222,mutator,VEE_ContaminatedReservoir
231,mutator,GL_Crater
240,mutator,VEE_MineableComponentSpacer
421,mutator,VEE_WastelandFauna
521,mutator,VEE_MineableComponentSpacer
552,mutator,VEE_PoisonousFlora
702,mutator,VEE_WastelandFauna
805,mutator,VEE_WastelandFauna
813,mutator,VEE_ContaminatedReservoir
813,mutator,VEE_WastelandFauna
815,mutator,VEE_MineableComponentSpacer
815,mutator,VEE_WastelandFauna
826,mutator,VEE_WastelandFauna
945,mutator,AB_AmbientRadiation
945,mutator,VEE_PoisonousFlora
987,mutator,VEE_CraterLake
993,mutator,AB_AmbientRadiation
993,mutator,AncientToxVent
1089,mutator,GL_Crater
1093,mutator,AncientToxVent
1093,mutator,VEE_ContaminatedRiver
1097,mutator,AncientToxVent
1097,mutator,VEE_ContaminatedReservoir
1098,mutator,VEE_MineableComponentSpacer
1098,mutator,VEE_WastelandFauna
1448,mutator,GL_Crater
1449,mutator,AB_AmbientRadiation
1449,mutator,VEE_PoisonousFlora
1451,mutator,GL_Crater
1454,mutator,AncientToxVent
2122,mutator,VEE_MineableComponentSpacer
2122,mutator,VEE_PoisonousFlora
2124,mutator,AB_AmbientRadiation
2125,mutator,VEE_ContaminatedRiver
2125,mutator,VEE_MineableComponentSpacer
2144,mutator,GL_Crater
2145,mutator,AncientToxVent
2145,mutator,VEE_WastelandFauna
2148,mutator,AncientToxVent
2148,mutator,VEE_MineableComponentSpacer
2156,mutator,VEE_MineableComponentSpacer
2159,mutator,VEE_WastelandFauna
2186,mutator,AncientToxVent
2186,mutator,VEE_ContaminatedRiver
2232,mutator,GL_Crater
2232,mutator,VEE_PoisonousFlora
2242,mutator,AB_AmbientRadiation
2242,mutator,VEE_MineableComponentSpacer
2246,mutator,AB_AmbientRadiation
2397,mutator,VEE_ContaminatedReservoir
2404,mutator,VEE_ContaminatedRiver
2434,mutator,VEE_PoisonousFlora
2446,mutator,VEE_WastelandFauna
2708,mutator,AB_AmbientRadiation
2708,mutator,VEE_WastelandFauna
2718,mutator,GL_Crater
3073,mutator,AB_AmbientRadiation
3073,mutator,VEE_WastelandFauna
3075,mutator,VEE_PoisonousFlora
3076,mutator,VEE_CraterLake
3076,mutator,VEE_MineableComponentSpacer
3084,mutator,VEE_ContaminatedReservoir
3085,mutator,GL_Crater
3085,mutator,VEE_WastelandFauna
3593,mutator,VEE_MineableComponentSpacer
3695,mutator,AB_AmbientRadiation
3695,mutator,VEE_PoisonousFlora
3742,mutator,AB_AmbientRadiation
3742,mutator,VEE_PoisonousFlora
3743,mutator,AB_AmbientRadiation
3743,mutator,GL_Crater
3745,mutator,AB_AmbientRadiation
3745,mutator,VEE_WastelandFauna
3755,mutator,AncientToxVent
3755,mutator,VEE_PoisonousFlora
3764,mutator,VEE_ContaminatedReservoir
3766,mutator,AB_AmbientRadiation
3766,mutator,VEE_PoisonousFlora
3769,mutator,AncientToxVent
3776,mutator,VEE_WastelandFauna
3779,mutator,GL_Crater
3808,mutator,VEE_ContaminatedRiver
3808,mutator,VEE_MineableComponentSpacer
3809,mutator,GL_Crater
3852,mutator,VEE_ContaminatedReservoir
3852,mutator,VEE_CraterLake
4072,mutator,AB_AmbientRadiation
4072,mutator,VEE_WastelandFauna
4846,mutator,AB_AmbientRadiation
4846,mutator,VEE_WastelandFauna
4852,mutator,GL_Crater
4853,mutator,GL_Crater
4853,mutator,VEE_WastelandFauna
4855,mutator,GL_Crater
4943,mutator,VEE_PoisonousFlora
5277,mutator,VEE_MineableComponentSpacer
5547,mutator,GL_Crater
5551,mutator,AB_AmbientRadiation
5551,mutator,VEE_WastelandFauna
5554,mutator,VEE_WastelandFauna
5555,mutator,VEE_ContaminatedReservoir
5670,mutator,AncientToxVent
5670,mutator,VEE_WastelandFauna
5671,mutator,AncientToxVent
5683,mutator,AncientToxVent
5710,mutator,AB_AmbientRadiation
5710,mutator,GL_Crater
5712,mutator,VEE_ContaminatedReservoir
5717,mutator,AB_AmbientRadiation
5719,mutator,AncientToxVent
5719,mutator,VEE_PoisonousFlora
5721,mutator,VEE_ContaminatedReservoir
5722,mutator,GL_Crater
5724,mutator,VEE_ContaminatedRiver
5735,mutator,AB_AmbientRadiation
5735,mutator,AncientToxVent
5736,mutator,VEE_WastelandFauna
5737,mutator,GL_Crater
5737,mutator,VEE_ContaminatedReservoir
5739,mutator,AncientToxVent
5744,mutator,VEE_ContaminatedReservoir
5753,mutator,AB_AmbientRadiation
5755,mutator,AB_AmbientRadiation
5755,mutator,AncientToxVent
5759,mutator,VEE_ContaminatedReservoir
5762,mutator,GL_Crater
5762,mutator,VEE_ContaminatedReservoir
5769,mutator,AB_AmbientRadiation
5770,mutator,VEE_ContaminatedReservoir
5775,mutator,VEE_ContaminatedReservoir
5775,mutator,VEE_MineableComponentSpacer
5777,mutator,VEE_ContaminatedReservoir
5839,mutator,VEE_CraterLake
5839,mutator,VEE_PoisonousFlora
5844,mutator,AB_AmbientRadiation
5847,mutator,VEE_PoisonousFlora
5848,mutator,VEE_PoisonousFlora
5850,mutator,AB_AmbientRadiation
5850,mutator,VEE_ContaminatedReservoir
5851,mutator,AB_AmbientRadiation
6720,mutator,AB_AmbientRadiation
6720,mutator,GL_Crater
6749,mutator,VEE_WastelandFauna
6768,mutator,AB_AmbientRadiation
6776,mutator,GL_Crater
6917,mutator,VEE_MineableComponentSpacer
7019,mutator,AB_AmbientRadiation
7019,mutator,VEE_WastelandFauna
7296,mutator,VEE_ContaminatedReservoir
7568,mutator,VEE_WastelandFauna
7834,mutator,AncientToxVent
7834,mutator,VEE_ContaminatedRiver
7837,mutator,VEE_PoisonousFlora
7861,mutator,VEE_MineableComponentSpacer
7929,mutator,AB_AmbientRadiation
7932,mutator,VEE_PoisonousFlora
7933,mutator,GL_Crater
7934,mutator,AB_AmbientRadiation
7934,mutator,GL_Crater
7935,mutator,VEE_PoisonousFlora
7937,mutator,AncientToxVent
7940,mutator,VEE_PoisonousFlora
8603,mutator,VEE_PoisonousFlora
8616,mutator,GL_Crater
8616,mutator,VEE_ContaminatedReservoir
8637,mutator,AncientToxVent
8668,mutator,VEE_PoisonousFlora
8668,mutator,VEE_WastelandFauna
8722,mutator,GL_Crater
8728,mutator,AB_AmbientRadiation
8728,mutator,VEE_ContaminatedReservoir
8729,mutator,VEE_CraterLake
8729,mutator,VEE_WastelandFauna
8885,mutator,GL_Crater
8885,mutator,VEE_ContaminatedReservoir
8912,mutator,VEE_WastelandFauna
8913,mutator,VEE_ContaminatedRiver
8915,mutator,VEE_ContaminatedRiver
9018,mutator,GL_Crater
9706,mutator,VEE_WastelandFauna
9712,mutator,AB_AmbientRadiation
9809,mutator,AB_AmbientRadiation
9956,mutator,AncientToxVent
9956,mutator,VEE_WastelandFauna
9957,mutator,AB_AmbientRadiation
9967,mutator,VEE_PoisonousFlora
10137,mutator,AB_AmbientRadiation
10139,mutator,VEE_CraterLake
10139,mutator,VEE_WastelandFauna
10141,mutator,GL_Crater
10141,mutator,VEE_WastelandFauna
10147,mutator,AncientToxVent
10407,mutator,VEE_WastelandFauna
10409,mutator,AncientToxVent
10410,mutator,VEE_MineableComponentSpacer
10410,mutator,VEE_PoisonousFlora
10413,mutator,AB_AmbientRadiation
10413,mutator,GL_Crater
10415,mutator,GL_Crater
10415,mutator,VEE_MineableComponentSpacer
10541,mutator,AB_AmbientRadiation
10543,mutator,VEE_PoisonousFlora
10569,mutator,AncientToxVent
10569,mutator,VEE_ContaminatedReservoir
10571,mutator,AB_AmbientRadiation
10571,mutator,GL_Crater
10574,mutator,AB_AmbientRadiation
10576,mutator,AB_AmbientRadiation
10576,mutator,VEE_CraterLake
10577,mutator,VEE_ContaminatedReservoir
10578,mutator,VEE_WastelandFauna
10581,mutator,AB_AmbientRadiation
10581,mutator,GL_Crater
10583,mutator,AB_AmbientRadiation
10584,mutator,AncientToxVent
10584,mutator,VEE_ContaminatedReservoir
10593,mutator,AncientToxVent
10595,mutator,VEE_ContaminatedReservoir
10596,mutator,VEE_WastelandFauna
10602,mutator,AncientToxVent
10615,mutator,AB_AmbientRadiation
10615,mutator,AncientToxVent
10616,mutator,AB_AmbientRadiation
10621,mutator,GL_Crater
10622,mutator,VEE_WastelandFauna
10623,mutator,VEE_ContaminatedReservoir
10625,mutator,VEE_ContaminatedRiver
10629,mutator,AncientToxVent
10629,mutator,GL_Crater
10630,mutator,AB_AmbientRadiation
10633,mutator,VEE_WastelandFauna
10638,mutator,GL_Crater
10638,mutator,VEE_MineableComponentSpacer
10705,mutator,VEE_WastelandFauna
10708,mutator,VEE_PoisonousFlora
10711,mutator,GL_Crater
10711,mutator,VEE_MineableComponentSpacer
11482,mutator,VEE_ContaminatedRiver
11482,mutator,VEE_PoisonousFlora
11606,mutator,VEE_ContaminatedReservoir
11606,mutator,VEE_WastelandFauna
11609,mutator,AB_AmbientRadiation
11628,mutator,VEE_MineableComponentSpacer
11636,mutator,GL_Crater
11639,mutator,AncientToxVent
11639,mutator,GL_Crater
12158,mutator,AncientToxVent
12160,mutator,VEE_PoisonousFlora
12163,mutator,AB_AmbientRadiation
12163,mutator,GL_Crater
12164,mutator,VEE_ContaminatedRiver
12174,mutator,VEE_ContaminatedRiver
12212,mutator,AB_AmbientRadiation
12239,mutator,VEE_ContaminatedReservoir
12239,mutator,VEE_PoisonousFlora
12240,mutator,GL_Crater
12240,mutator,VEE_ContaminatedReservoir
12954,mutator,AncientToxVent
13041,mutator,AncientToxVent
13044,mutator,AncientToxVent
13045,mutator,AB_AmbientRadiation
13202,mutator,AB_AmbientRadiation
13206,mutator,GL_Crater
13237,mutator,GL_Crater
13241,mutator,VEE_ContaminatedReservoir
13646,mutator,GL_Crater
13810,mutator,AB_AmbientRadiation
13813,mutator,GL_Crater
13813,mutator,VEE_PoisonousFlora
13814,mutator,VEE_PoisonousFlora
13816,mutator,AncientToxVent
13816,mutator,VEE_WastelandFauna
13819,mutator,AB_AmbientRadiation
13819,mutator,AncientToxVent
13835,mutator,VEE_PoisonousFlora
13843,mutator,VEE_MineableComponentSpacer
13845,mutator,AB_AmbientRadiation
13853,mutator,VEE_ContaminatedReservoir
13854,mutator,AB_AmbientRadiation
13858,mutator,VEE_MineableComponentSpacer
13860,mutator,VEE_PoisonousFlora
13863,mutator,AB_AmbientRadiation
13863,mutator,VEE_WastelandFauna
13864,mutator,VEE_ContaminatedReservoir
13866,mutator,AncientToxVent
13867,mutator,VEE_MineableComponentSpacer
13867,mutator,VEE_WastelandFauna
13872,mutator,AB_AmbientRadiation
13872,mutator,VEE_WastelandFauna
13873,mutator,VEE_MineableComponentSpacer
13879,mutator,GL_Crater
13879,mutator,VEE_ContaminatedReservoir
13950,mutator,AB_AmbientRadiation
14734,mutator,GL_Crater
14736,mutator,VEE_ContaminatedRiver
14878,mutator,VEE_ContaminatedReservoir
14878,mutator,VEE_PoisonousFlora
15355,mutator,AB_AmbientRadiation
15355,mutator,VEE_PoisonousFlora
15393,mutator,VEE_ContaminatedReservoir
15395,mutator,AB_AmbientRadiation
15396,mutator,AB_AmbientRadiation
15396,mutator,VEE_PoisonousFlora
15405,mutator,VEE_PoisonousFlora
15418,mutator,VEE_MineableComponentSpacer
15421,mutator,AB_AmbientRadiation
15421,mutator,VEE_MineableComponentSpacer
15423,mutator,GL_Crater
15426,mutator,AncientToxVent
15468,mutator,AncientToxVent
15468,mutator,VEE_PoisonousFlora
15469,mutator,VEE_MineableComponentSpacer
15469,mutator,VEE_PoisonousFlora
15540,mutator,AncientToxVent
15540,mutator,VEE_MineableComponentSpacer
15567,mutator,VEE_PoisonousFlora
15570,mutator,GL_Crater
15570,mutator,VEE_WastelandFauna
15972,mutator,AB_AmbientRadiation
15972,mutator,GL_Crater
15981,mutator,VEE_PoisonousFlora
15981,mutator,VEE_WastelandFauna
15986,mutator,AB_AmbientRadiation
15986,mutator,VEE_ContaminatedReservoir
15987,mutator,VEE_ContaminatedReservoir
15993,mutator,VEE_PoisonousFlora
15996,mutator,AB_AmbientRadiation
15998,mutator,GL_Crater
15999,mutator,AncientToxVent
15999,mutator,VEE_WastelandFauna
