id,rimflow_item_id,prompt,canvas_w,canvas_h,reference,facings,style_notes,priority,background,channel
bluedesert_dorrak,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game animal sprite: the dorrak, a six-legged boiler-like beast, plated and slab-sided, low and slow, closing a lidded face over frozen ground. No Earth-nameable silhouette -- not a tortoise, not a rhino. Body reads as the darkest grey step of a blue-grey ice palette (#1c2430 to #d2dde6 family), no colour accent -- the accent belongs to a different creature. Matte armoured plates, no shine.",256,256,,"south,east,north","grey-on-grey, dorrak = darkest step; six short stubby legs; sealed lidded head; no earth-animal silhouette",100,transparent,codex
bluedesert_dorrak_dessicated,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game animal CORPSE sprite: the dorrak, dessicated/dead pose, lying on its side, plates dulled, matching the living dorrak's silhouette and dark grey palette.",256,256,,,"corpse art, single south-facing pose, matches living dorrak silhouette",120,transparent,codex
bluedesert_krissek,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game animal sprite: the krissek, a low fast quadruped predator, all haunch and jaw, no ears, no tail. Body is MID-GREY and PLAIN at rest -- no colour on the body itself, the blue-fire halo is a separate rendered effect layered on top by the game, not part of this sprite. No Earth-nameable silhouette -- not a wolf, not a fox.",256,256,,"south,east,north","grey-on-grey, krissek = mid grey; lean sprinter build, low haunches; no ears, no tail; plain body, NO blue fire baked into the sprite",100,transparent,codex
bluedesert_krissek_dessicated,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game animal CORPSE sprite: the krissek, dessicated/dead pose, lying on its side, matching the living krissek's silhouette and mid-grey palette, fire extinguished.",256,256,,,"corpse art, single south-facing pose, matches living krissek silhouette",120,transparent,codex
bluedesert_vekkit,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game animal sprite: the vekkit, a knee-high scavenger that stands and moves like a folding chair, two long jointed forelimbs ending in hooks. Body reads as a lighter grey step than the krissek -- a moving shadow on the ice. No Earth-nameable silhouette -- not a bird, not a crab, not a rodent.",256,256,,"south,east,north","grey-on-grey, vekkit = one step lighter than krissek; folding-chair stance, long jointed hook-tipped forelimbs; no earth-animal silhouette",100,transparent,codex
bluedesert_palefloss,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game plant sprite: palefloss, a low fist of TRANSPARENT filaments hugging the ice, branching in FRACTAL patterns for gas exchange instead of leaves. Must clearly show transparency -- the ice ground visible THROUGH the body -- and fractal branching, not a solid leafy plant. Faint rainbow refraction at the edges, no green, no chlorophyll colour.",128,128,,,"transparency and fractal branching are mandatory; ground-cover scale, small",110,transparent,codex
bluedesert_palefloss_b,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game plant sprite variant B: palefloss, transparent fractal-branched filament fuzzball on ice, same species as variant A with a different growth silhouette.",128,128,,,"transparency and fractal branching mandatory; variant B silhouette",110,transparent,codex
bluedesert_palefloss_c,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game plant sprite variant C: palefloss, transparent fractal-branched filament fuzzball on ice, same species as variants A/B with a third distinct growth silhouette.",128,128,,,"transparency and fractal branching mandatory; variant C silhouette",110,transparent,codex
bluedesert_glassfern,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game plant sprite: glassfern, a hand-high TRANSPARENT fractal frond, all edge and refraction, branching gas-exchange filaments in place of leaves. Must clearly show transparency (ice visible through the frond) and fractal branching. Faint rainbow refraction at the edges, no green pigment.",128,128,,,"transparency and fractal branching are mandatory; mid-height fern silhouette",110,transparent,codex
bluedesert_glassfern_b,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game plant sprite variant B: glassfern, transparent fractal frond on ice, same species as variant A with a different branch silhouette.",128,128,,,"transparency and fractal branching mandatory; variant B silhouette",110,transparent,codex
bluedesert_glassfern_c,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game plant sprite variant C: glassfern, transparent fractal frond on ice, same species as variants A/B with a third distinct branch silhouette.",128,128,,,"transparency and fractal branching mandatory; variant C silhouette",110,transparent,codex
bluedesert_chimeglobe,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game plant sprite: chimeglobe, a clear TRANSPARENT stalk carrying one spherical fractal lattice head, shedding glittering seed-lattices. Must clearly show transparency (ice visible through the stalk and globe) and fractal lattice branching in the head. The single most beautiful plant on the plateau -- fine detail, glittering highlights, no green pigment.",128,128,,,"transparency and fractal lattice branching mandatory; tallest of the three flora, one sphere-head silhouette",110,transparent,codex
bluedesert_chimeglobe_b,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld top-down game plant sprite variant B: chimeglobe, transparent fractal-lattice-headed stalk on ice, same species as variant A with a different lattice silhouette.",128,128,,,"transparency and fractal lattice branching mandatory; variant B silhouette",110,transparent,codex
bluedesert_krissek_halo_mote,BLUE_DESERT_LIFE_AUTHORING_1,"RimWorld particle/mote texture: a soft blue-white flame halo ring, additive glow, for a creature that 'blazes with a halo of blue fire' when running or fighting. Circular/radial flame-wisp shape, transparent background, colour close to #55c0f0, meant to be layered under/around a pawn sprite.",128,128,,,"additive glow mote, biome accent colour #55c0f0, soft radial flame-wisp",130,transparent,codex
