# Desert enrichment plan — part of BIOME_ENRICHMENT_DESERT_WASTELAND_1
# Sheet: design/Jawa/worldbuilding/biomes/desert.md (FROZEN, BIOME_FREEZE_FABLE_REVIEW_1)
# Before: 3932 tiles, 2077 zero-mutator (53%). Target: ~35% zero (1376), so 701 tiles touched, 981 rows.
# Every pick supports the shade-patch/sprint-economy mechanism; no pursuit predators, no day/night,
# no local fire, no lush (hard bans Sec.6) were introduced by any of these.
# Lore fit per def:
#   GL_DesertPlateau    - the shade-casting mesa: "settlements on the big patches" (Sec.8) sit here.
#   GL_Cliff            - the vertical that "throws a shadow four times its own height" (Sec.1).
#   GL_CliffCorner      - variety on the same shade-caster silhouette language (Sec.9).
#   VEE_MigratoryHerds  - megafauna crossing between shade harbours (Sec.4c "circulatory system").
#   VEE_AggressiveHerds - the patch commons' stratified hierarchy defending the cool centre (Sec.4).
#   VEE_HardToTraverse  - the stripped hardpan/pavement: "nothing can swim up at you... no shade
#                         either" (Sec.4, "soft ground and hard ground").
#   VEE_QuicksandPits   - soft sand where "some burrowing is possible wherever sand exists" (Sec.4).
#   GL_CaveEntrance     - "rock shelters and crevice dwellings in the hills" (Sec.8).
#   Sandy               - the buried-canopy ultracactus ground cover (Sec.4b).
#   WindyMutator        - the ash/smoke haze arriving from Pyreland fires (Sec.4 "the smoke is a gift").
tile,action,def
2,mutator,GL_CliffCorner
93,mutator,GL_CliffCorner
165,mutator,VEE_QuicksandPits
172,mutator,GL_Cliff
197,mutator,VEE_AggressiveHerds
197,mutator,VEE_HardToTraverse
207,mutator,GL_Cliff
227,mutator,GL_CliffCorner
227,mutator,GL_DesertPlateau
352,mutator,GL_DesertPlateau
352,mutator,VEE_HardToTraverse
407,mutator,GL_Cliff
407,mutator,GL_DesertPlateau
466,mutator,GL_Cliff
490,mutator,VEE_QuicksandPits
524,mutator,Sandy
524,mutator,VEE_AggressiveHerds
532,mutator,GL_DesertPlateau
536,mutator,VEE_AggressiveHerds
540,mutator,VEE_QuicksandPits
664,mutator,VEE_MigratoryHerds
701,mutator,GL_Cliff
720,mutator,GL_CaveEntrance
720,mutator,WindyMutator
767,mutator,GL_CliffCorner
824,mutator,GL_DesertPlateau
893,mutator,GL_Cliff
940,mutator,GL_CliffCorner
940,mutator,GL_DesertPlateau
947,mutator,VEE_AggressiveHerds
952,mutator,GL_CaveEntrance
995,mutator,VEE_MigratoryHerds
1007,mutator,VEE_HardToTraverse
1010,mutator,GL_DesertPlateau
1010,mutator,VEE_HardToTraverse
1042,mutator,GL_DesertPlateau
1047,mutator,VEE_QuicksandPits
1064,mutator,VEE_HardToTraverse
1064,mutator,VEE_MigratoryHerds
1076,mutator,GL_DesertPlateau
