# PoisonForest enrichment plan — BIOME_ENRICHMENT_POISON_FOREST_1
# Sheet: design/Jawa/worldbuilding/biomes/poison_forest.md (FROZEN, BIOME_FREEZE_FABLE_REVIEW_1)
# Before: 557 tiles, 412 zero-mutator (74%). Target: ~35% zero (195), so 217 tiles touched, 304 mutator rows.
# All picks are ANCIENT/ARTIFICIAL vents, never natural volcanism/steam/geysers (hard ban #114) —
# they read as the ruined "gas-tap scaffolds" and "capped wellheads" of Sec.8, not magma features.
# Lore fit per def:
#   AB_AncientFreezingVent  - the biome's own driving mechanism: cold gas venting along the terminator
#                             thermal boundary (Sec.2 "Why the vents are cold"). Primary pick.
#   AB_AncientBloodRainVent - chemical fallout staining trunks; matches the dark red-purple defeated-
#                             phototroph crust and the metal-tear weeping bark (Sec.9 palette).
#   AB_AncientGreyPallVent  - grey ash-slag palette match ("bone-pale trunks streaked with grey metal
#                             tears", Sec.9); NOT the Twilight Sea's "moldy" identity — kept distinct.
#   AB_AncientDeathPallVent - toxic pall over ground; reinforces "all meat here is toxic" (Sec.5).
#   AncientSmokeVent        - vanilla ruin-vent; the "condenser stacks... furred with crystal" (Sec.8).
#   AncientToxVent          - vanilla ruin-vent; reinforces the chemical/toxic anomaly, not a geyser.
#   FoggyMutator            - the permanent scattered-dusk light regime (Sec.2 "scattered twilight").
#   UndergroundCave         - hilly tiles (up to Mountains); the ore/mineral-bearing rock beneath the
#                             chemosynthetic forest ("ore is present in the organisms, not only the rock").
tile,action,def
196,mutator,AB_AncientFreezingVent
376,mutator,AB_AncientGreyPallVent
376,mutator,AncientToxVent
377,mutator,AB_AncientFreezingVent
401,mutator,AB_AncientDeathPallVent
455,mutator,AB_AncientFreezingVent
455,mutator,AncientToxVent
482,mutator,AB_AncientBloodRainVent
486,mutator,AB_AncientFreezingVent
486,mutator,AB_AncientGreyPallVent
915,mutator,AB_AncientDeathPallVent
915,mutator,AncientSmokeVent
917,mutator,AB_AncientFreezingVent
917,mutator,AncientSmokeVent
918,mutator,AncientToxVent
1023,mutator,AncientToxVent
1023,mutator,UndergroundCave
1094,mutator,AB_AncientGreyPallVent
1353,mutator,AB_AncientBloodRainVent
1353,mutator,AncientToxVent
1801,mutator,AncientSmokeVent
1890,mutator,AB_AncientBloodRainVent
1890,mutator,AB_AncientDeathPallVent
1965,mutator,AncientSmokeVent
1976,mutator,AB_AncientBloodRainVent
1976,mutator,AB_AncientDeathPallVent
1977,mutator,AncientSmokeVent
1979,mutator,AB_AncientFreezingVent
1979,mutator,UndergroundCave
1981,mutator,AB_AncientGreyPallVent
2147,mutator,AncientSmokeVent
2192,mutator,AB_AncientGreyPallVent
2192,mutator,AncientSmokeVent
2220,mutator,AB_AncientDeathPallVent
2627,mutator,AB_AncientBloodRainVent
2627,mutator,AB_AncientDeathPallVent
2629,mutator,AB_AncientBloodRainVent
2643,mutator,AB_AncientGreyPallVent
2719,mutator,AB_AncientDeathPallVent
3374,mutator,AB_AncientBloodRainVent
3416,mutator,AB_AncientFreezingVent
3416,mutator,FoggyMutator
3417,mutator,AB_AncientDeathPallVent
