# RUT_TwilightSea enrichment plan — SEA_ENRICHMENT_LANDMARKS_1
# Sheets: design/Jawa/worldbuilding/biomes/terminator_sea.md (surface/shore law, FROZEN) +
#         the_twilight_deep.md (bottom, deferred implementation; "ice fringe" noted Sec.0).
# Before: 479 tiles, only 1 carried a landmark (0.2%). Target: ~65% landmark coverage (311 tiles),
# so 310 NEW landmark rows (existing tile 5307/VEE_GravelBeach left untouched).
# All picks proven or gate-compatible with a fully water-covered, non-coastal open-sea tile
# (gate coastSides=0..0 / no-coast, or maxHilliness=Flat — every sea tile is Flat). No schools/herds/
# packs were added (terminator_sea.md hard ban) — these are geography and structure, not fauna.
# Lore fit per def:
#   VEE_GravelBeach   - already-proven placement (tile 5307): the stranded-shoreline TERRACE that is
#                       this sheet's central image ("terraces, ring after ring of stranded shoreline
#                       stepping down toward water that has retreated", Sec.1). Primary pick.
#   Harbor            - the Homestead Defense League's fog-net/cistern holdings (Sec.8 "Inhabited
#                       objects"): "every faction on Ash'karr has a stake in this band" (Sec.7).
#   Crevasse          - a fracture in the nightward ice fringe (twilight_deep.md Sec.0); gated
#                       coastSides=0..0, safe on open water with no land contact.
#   AncientSmokeVent  - a half-drowned war-era installation, "salt-buried and wind-scoured" ruin
#                       language (Sec.8), still breathing gas into the cold brine.
#   IceDunes          - the ice fringe itself, wind-raked into hummocks at the sea's nightward edge.
tile,action,def
16,landmark,VEE_GravelBeach
82,landmark,AncientSmokeVent
178,landmark,VEE_GravelBeach
181,landmark,Harbor
358,landmark,Harbor
480,landmark,AncientSmokeVent
757,landmark,AncientSmokeVent
802,landmark,Crevasse
803,landmark,AncientSmokeVent
898,landmark,VEE_GravelBeach
899,landmark,Crevasse
901,landmark,Harbor
1296,landmark,VEE_GravelBeach
1329,landmark,IceDunes
1342,landmark,Harbor
1829,landmark,VEE_GravelBeach
1830,landmark,Harbor
1861,landmark,IceDunes
1869,landmark,AncientSmokeVent
1871,landmark,Crevasse
1874,landmark,AncientSmokeVent
1875,landmark,VEE_GravelBeach
1876,landmark,AncientSmokeVent
1877,landmark,Harbor
1878,landmark,IceDunes
1879,landmark,VEE_GravelBeach
1881,landmark,Harbor
1882,landmark,IceDunes
1886,landmark,Crevasse
2516,landmark,Harbor
2517,landmark,VEE_GravelBeach
2519,landmark,Crevasse
2521,landmark,Crevasse
2914,landmark,IceDunes
2915,landmark,AncientSmokeVent
2916,landmark,Harbor
2962,landmark,VEE_GravelBeach
3449,landmark,Crevasse
3450,landmark,VEE_GravelBeach
3489,landmark,Harbor
3490,landmark,IceDunes
3491,landmark,VEE_GravelBeach
3492,landmark,Crevasse
3495,landmark,Crevasse
3496,landmark,IceDunes
3498,landmark,AncientSmokeVent
3499,landmark,Harbor
3500,landmark,VEE_GravelBeach
3501,landmark,Crevasse
3502,landmark,Crevasse
3503,landmark,IceDunes
3505,landmark,AncientSmokeVent
3506,landmark,VEE_GravelBeach
3508,landmark,Crevasse
3509,landmark,VEE_GravelBeach
4556,landmark,IceDunes
4557,landmark,AncientSmokeVent
4560,landmark,Harbor
4563,landmark,AncientSmokeVent
4564,landmark,Crevasse
4572,landmark,AncientSmokeVent
4573,landmark,AncientSmokeVent
4574,landmark,Crevasse
4575,landmark,AncientSmokeVent
4576,landmark,Crevasse
4578,landmark,IceDunes
4579,landmark,VEE_GravelBeach
4580,landmark,AncientSmokeVent
4581,landmark,IceDunes
4584,landmark,Crevasse
4586,landmark,Crevasse
4587,landmark,IceDunes
4588,landmark,VEE_GravelBeach
4590,landmark,Harbor
4591,landmark,Harbor
5304,landmark,VEE_GravelBeach
5305,landmark,AncientSmokeVent
5309,landmark,AncientSmokeVent
5311,landmark,Crevasse
6946,landmark,IceDunes
6947,landmark,Crevasse
6949,landmark,VEE_GravelBeach
6953,landmark,VEE_GravelBeach
6956,landmark,VEE_GravelBeach
6958,landmark,Harbor
6959,landmark,Harbor
6963,landmark,IceDunes
6964,landmark,IceDunes
6965,landmark,Harbor
6966,landmark,VEE_GravelBeach
6972,landmark,Crevasse
6980,landmark,IceDunes
6982,landmark,VEE_GravelBeach
6983,landmark,Crevasse
7155,landmark,Crevasse
7181,landmark,Harbor
7182,landmark,Crevasse
7183,landmark,AncientSmokeVent
7220,landmark,Crevasse
7232,landmark,VEE_GravelBeach
7236,landmark,AncientSmokeVent
7237,landmark,IceDunes
7241,landmark,Crevasse
7243,landmark,AncientSmokeVent
7378,landmark,AncientSmokeVent
7379,landmark,AncientSmokeVent
7496,landmark,VEE_GravelBeach
7774,landmark,Crevasse
7776,landmark,VEE_GravelBeach
8308,landmark,Harbor
8309,landmark,IceDunes
8351,landmark,VEE_GravelBeach
8353,landmark,Harbor
8355,landmark,AncientSmokeVent
8357,landmark,AncientSmokeVent
8360,landmark,Crevasse
8361,landmark,AncientSmokeVent
8364,landmark,VEE_GravelBeach
8365,landmark,VEE_GravelBeach
8366,landmark,Crevasse
9416,landmark,Crevasse
9420,landmark,AncientSmokeVent
9424,landmark,IceDunes
9430,landmark,VEE_GravelBeach
9431,landmark,Crevasse
9432,landmark,Harbor
9433,landmark,AncientSmokeVent
9434,landmark,VEE_GravelBeach
9435,landmark,IceDunes
9437,landmark,VEE_GravelBeach
9438,landmark,Harbor
9442,landmark,Harbor
9443,landmark,IceDunes
9444,landmark,AncientSmokeVent
10161,landmark,Crevasse
10162,landmark,VEE_GravelBeach
10166,landmark,Harbor
10169,landmark,Crevasse
10170,landmark,Harbor
11806,landmark,VEE_GravelBeach
11807,landmark,Harbor
11808,landmark,Crevasse
11809,landmark,VEE_GravelBeach
11816,landmark,AncientSmokeVent
11817,landmark,Crevasse
11818,landmark,Crevasse
11819,landmark,AncientSmokeVent
11820,landmark,AncientSmokeVent
11821,landmark,Crevasse
11823,landmark,VEE_GravelBeach
11824,landmark,Harbor
11825,landmark,VEE_GravelBeach
11826,landmark,IceDunes
11827,landmark,Crevasse
11832,landmark,Harbor
11833,landmark,Harbor
11840,landmark,IceDunes
11841,landmark,Harbor
12015,landmark,Crevasse
12019,landmark,VEE_GravelBeach
12038,landmark,IceDunes
12042,landmark,AncientSmokeVent
12092,landmark,AncientSmokeVent
12093,landmark,Crevasse
12095,landmark,IceDunes
12096,landmark,Crevasse
12097,landmark,VEE_GravelBeach
12098,landmark,IceDunes
12099,landmark,AncientSmokeVent
12100,landmark,Crevasse
12102,landmark,Crevasse
12656,landmark,Crevasse
12658,landmark,AncientSmokeVent
12659,landmark,VEE_GravelBeach
12661,landmark,IceDunes
12666,landmark,IceDunes
12667,landmark,Harbor
12668,landmark,IceDunes
12669,landmark,Crevasse
12670,landmark,VEE_GravelBeach
12671,landmark,VEE_GravelBeach
12672,landmark,Harbor
12674,landmark,VEE_GravelBeach
12676,landmark,Crevasse
12680,landmark,IceDunes
12681,landmark,Crevasse
12682,landmark,Harbor
12685,landmark,AncientSmokeVent
12686,landmark,Crevasse
12688,landmark,VEE_GravelBeach
12689,landmark,IceDunes
12691,landmark,Harbor
13380,landmark,Harbor
13403,landmark,VEE_GravelBeach
13404,landmark,Crevasse
13406,landmark,Crevasse
13407,landmark,AncientSmokeVent
13410,landmark,VEE_GravelBeach
15052,landmark,AncientSmokeVent
15053,landmark,Crevasse
15055,landmark,Harbor
15056,landmark,AncientSmokeVent
15057,landmark,Harbor
15060,landmark,Crevasse
15061,landmark,VEE_GravelBeach
15063,landmark,AncientSmokeVent
15066,landmark,Harbor
15068,landmark,Crevasse
15071,landmark,Harbor
15072,landmark,VEE_GravelBeach
15073,landmark,VEE_GravelBeach
15080,landmark,Crevasse
15252,landmark,IceDunes
15253,landmark,AncientSmokeVent
15256,landmark,AncientSmokeVent
15258,landmark,IceDunes
15320,landmark,Crevasse
15321,landmark,Harbor
15322,landmark,AncientSmokeVent
15332,landmark,IceDunes
15333,landmark,Crevasse
15336,landmark,Crevasse
17212,landmark,AncientSmokeVent
17213,landmark,VEE_GravelBeach
17214,landmark,Harbor
18252,landmark,VEE_GravelBeach
18254,landmark,Crevasse
18256,landmark,VEE_GravelBeach
18257,landmark,AncientSmokeVent
18258,landmark,AncientSmokeVent
18259,landmark,IceDunes
18262,landmark,IceDunes
18264,landmark,Crevasse
18265,landmark,AncientSmokeVent
18446,landmark,AncientSmokeVent
18450,landmark,Crevasse
18451,landmark,Harbor
18454,landmark,VEE_GravelBeach
18456,landmark,Harbor
18488,landmark,IceDunes
18492,landmark,Harbor
18493,landmark,IceDunes
18494,landmark,Harbor
18495,landmark,AncientSmokeVent
18496,landmark,VEE_GravelBeach
18497,landmark,Crevasse
18499,landmark,Crevasse
18501,landmark,Harbor
18502,landmark,AncientSmokeVent
18503,landmark,Harbor
18504,landmark,AncientSmokeVent
18508,landmark,Harbor
18509,landmark,VEE_GravelBeach
18510,landmark,Harbor
18511,landmark,VEE_GravelBeach
18512,landmark,VEE_GravelBeach
18514,landmark,AncientSmokeVent
18516,landmark,VEE_GravelBeach
18517,landmark,VEE_GravelBeach
18518,landmark,AncientSmokeVent
18521,landmark,AncientSmokeVent
18522,landmark,VEE_GravelBeach
18525,landmark,Crevasse
18527,landmark,Crevasse
18531,landmark,VEE_GravelBeach
18532,landmark,Crevasse
18533,landmark,IceDunes
18535,landmark,AncientSmokeVent
18536,landmark,VEE_GravelBeach
18538,landmark,Crevasse
18539,landmark,Harbor
18541,landmark,Harbor
18542,landmark,Crevasse
18543,landmark,Crevasse
18544,landmark,Crevasse
18545,landmark,IceDunes
18546,landmark,Harbor
18547,landmark,Crevasse
18549,landmark,Harbor
18551,landmark,Crevasse
18552,landmark,Crevasse
18553,landmark,Harbor
18555,landmark,VEE_GravelBeach
18557,landmark,IceDunes
18558,landmark,VEE_GravelBeach
18559,landmark,Harbor
18560,landmark,AncientSmokeVent
18562,landmark,VEE_GravelBeach
18564,landmark,Crevasse
18565,landmark,AncientSmokeVent
18567,landmark,Harbor
18568,landmark,Harbor
18570,landmark,VEE_GravelBeach
18571,landmark,AncientSmokeVent
18572,landmark,AncientSmokeVent
18573,landmark,IceDunes
18574,landmark,VEE_GravelBeach
18575,landmark,VEE_GravelBeach
18576,landmark,Harbor
18589,landmark,Harbor
18591,landmark,Harbor
18593,landmark,Harbor
18598,landmark,Crevasse
18599,landmark,AncientSmokeVent
18600,landmark,IceDunes
18601,landmark,IceDunes
18603,landmark,IceDunes
18605,landmark,Crevasse
18606,landmark,Harbor
18608,landmark,Harbor
