id,rimflow_item_id,prompt,canvas_w,canvas_h,reference,facings,style_notes,priority,background,channel
miasma_thessamor,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: thessamor, a mangal tree whose trunk begins a full metre up the trunk carried on a splayed tripod of see-through prop-roots. Below the tide-mark the bark is wet black and polished; above it, grey-green and furred with a white salt rime that flakes off. Broad, low, permanently dripping crown.",256,256,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: tripod prop-root cage under a broad low crown, wet black bark below the waterline, white salt-rime crust above it.",110,transparent,codex
miasma_brelloch,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: brelloch, a squat mangal wider than it is tall, looking half-buried, its whole upper surface armoured in a crust of its own excreted salt an inch thick, grey-white and cracked like old glaze, with startling wet green bark showing through the flaked patches.",200,200,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: squat wide silhouette, thick cracked salt-glaze crust, green bark visible only where the crust has flaked.",110,transparent,codex
miasma_quennath,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: quennath, a parasitic mangal with no trunk of its own -- a knotted mass clamped into a host's roots sending up a slender stem and a crown noticeably more colourful and healthier than everything around it, deep green leaves veined violet.",180,180,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: a second, healthier-looking crown with no trunk of its own, deep green leaves with violet veins.",110,transparent,codex
miasma_ilbareen_live,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: living ilbareen, a slim pale stem rising well above the canopy carrying one sparse fan of ribbon-leaves, yellow-green and translucent at the edges.",180,180,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: tall bare stem, one thin sparse fan, yellow-green translucent-edged leaves. Part of a matched pair with miasma_ilbareen_dead -- same stem proportions, living version.",105,transparent,codex
miasma_ilbareen_dead,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: dead standing ilbareen, the same tall bare-stemmed plant as its living form but bleached chalk-white, its single fan collapsed into a drooping dry rag. It has been dead and standing for years.",180,180,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: same silhouette and proportions as the living ilbareen, but bleached white with a collapsed drooping fan -- unmistakably dead and standing, not a fresh kill. Part of a matched pair with miasma_ilbareen_live.",105,transparent,codex
miasma_ollamane,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: ollamane, three or four vast fan-leaves on separate near-black glossy stalks rising far above everything around them, each fan a deep saturated purple shot through with darker veins and rimmed in a hard electric-blue line, undersides mottled grey.",256,256,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: enormous single-plane fan leaves on near-black stalks, deep purple fan colour, hard electric-blue rim line. This is the biome's single most important signature sprite -- highest priority.",90,transparent,codex
miasma_vellamine,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: vellamine, a dense low clump of broad overlapping heart-shaped leaves with no stem visible, each leaf carrying colour along its veins -- magenta at the midrib bleeding through crimson and orange into a yellow-green margin, no two leaves matching, edges slightly curled and dry.",140,140,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: overlapping heart-leaves with no stem visible, colour travelling ALONG the veins from magenta centre to yellow-green edge.",110,transparent,codex
miasma_ismerrow_a,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: ismerrow, a knee-high rosette of sharply serrated toothed leaves. This individual plant is electric blue-teal with a magenta edge. Leaf-tips look faintly scorched.",150,150,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: serrated upright rosette shape, sharply toothed leaf edges, scorched leaf-tips. This is variant A of a colour-randomised set (A/B/C/D) -- the toothing and posture must be IDENTICAL across all four variants, only the colour scheme differs.",110,transparent,codex
miasma_ismerrow_b,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: ismerrow, a knee-high rosette of sharply serrated toothed leaves, same species and posture as variant A. This individual plant is purple over lime green. Leaf-tips look faintly scorched.",150,150,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: identical serrated rosette silhouette to variant A, but purple-over-lime colouring. Variant B of a 4-variant colour-randomised set.",110,transparent,codex
miasma_ismerrow_c,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: ismerrow, a knee-high rosette of sharply serrated toothed leaves, same species and posture as variant A. This individual plant is near-black with a lit yellow centre. Leaf-tips look faintly scorched.",150,150,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: identical serrated rosette silhouette to variant A, but near-black colouring with a glowing yellow centre. Variant C of a 4-variant colour-randomised set.",110,transparent,codex
miasma_ismerrow_d,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: ismerrow, a knee-high rosette of sharply serrated toothed leaves, same species and posture as variant A. This individual plant is rose pink bleeding to cream. Leaf-tips look faintly scorched.",150,150,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: identical serrated rosette silhouette to variant A, but rose-to-cream colouring. Variant D of a 4-variant colour-randomised set.",110,transparent,codex
