biome,defName,label,mod,band,bodySize,commonality,belong,standout,defence,status,reason,promoted
RUT_AridShrubland,FrilledGorg,frilled gorg,Star Wars Animal Collection (Continued),small-runway,0.4000000059604645,1.0,,,0.56,keep,arid_shrubland: bs 0.4 (MEASURED); runway nation,0
RUT_AridShrubland,Gorg,gorg,Star Wars Animal Collection (Continued),small-runway,0.30000001192092896,1.0,,,0.558,keep,arid_shrubland: small band pass: bs 0.3 (MEASURED); runway-nation resident (prep §3.2),0
RUT_AridShrubland,Iriaz,iriaz,Star Wars Animal Collection (Continued),small-herd,0.699999988079071,1.0,,,0.417,keep,arid_shrubland: bs 0.7 (MEASURED) herd herbivore — top small resident,0
RUT_AridShrubland,LongtailGorg,longtail gorg,Star Wars Animal Collection (Continued),medium-interface,0.6000000238418579,1.0,,,0.565,keep,arid_shrubland: bs 0.6 (MEASURED); prep §3.2,0
RUT_AridShrubland,Eopie,eopie,Star Wars Animal Collection (Continued),medium-pack,1.399999976158142,0.8,,,0.455,keep,"arid_shrubland: pack icon, bs 1.4 (MEASURED); prep §3.2",0
RUT_AridShrubland,Kreetle,kreetle,Star Wars Animal Collection (Continued),small-runway,0.20000000298023224,0.8,,,0.605,keep,arid_shrubland: bs 0.2 (MEASURED); prep §3.2,0
RUT_AridShrubland,Lothcat,loth-cat,Star Wars Animal Collection (Continued),small-runway,0.3499999940395355,0.8,,,0.559,keep,"arid_shrubland: icon (bs 0.35, MEASURED); prep §3.2",0
RUT_AridShrubland,Mudhorn,mudhorn,Star Wars Animal Collection (Continued),huge-predator-exception,4,0.8,,,0.73,keep,arid_shrubland: owner card 2026-09-09: the ONE huge-predator icon exception to the giants-are-indifferent law,0
RUT_AridShrubland,Ronto,ronto,Star Wars Animal Collection (Continued),huge-grazer,6,0.8,,,0.717,keep,"arid_shrubland: indifferent giant, herd (prep §3.2); the giants' floor",0
RUT_AridShrubland,Scurrier,scurrier,Star Wars Animal Collection (Continued),small-runway,0.20000000298023224,0.8,,,0.555,keep,arid_shrubland: bs 0.2 (MEASURED); small-band legal here (no small speed ban); prep §3.2,0
RUT_AridShrubland,Sketto,sketto,Star Wars Animal Collection (Continued),small-runway,0.4000000059604645,0.8,,,0.56,keep,arid_shrubland: bs 0.4 (MEASURED); prep §3.2,0
RUT_AridShrubland,Igitz,igitz,Star Wars Animal Collection (Continued),small-runway,0.3199999928474426,0.7,,,0.558,keep,"arid_shrubland: SW small predator, bs 0.32 (MEASURED) — under-fuzz hunter",0
RUT_AridShrubland,RSW_ImperialToad,imperial toad,RimMandrake: SW — Bestiary,small-runway,0.3,0.7,,,,keep,"arid_shrubland: bs 0.3 (MEASURED); prep §3.2; ROSTER_DEAD_BMT_NAMES_SWEEP_1: renamed from BMT_ImperialToad to the already-ported, already-wired RSW_ name (RUT_AridShrubland)",0
RUT_AridShrubland,Terrorworm,terrorworm,Horrors (Continued),medium-tunnel,0.6000000238418579,0.7,,,0.657,keep,"arid_shrubland: tunnel-shaped predator — ""long, thin, terrible things shaped like the corridors"" donor (prep §3.4)",0
RUT_AridShrubland,Urusai,urusai,Star Wars Animal Collection (Continued),medium-interface,0.75,0.7,,,0.619,keep,arid_shrubland: bs 0.75 (MEASURED); prep §3.2,0
RUT_AridShrubland,Kybuck,kybuck,Star Wars Animal Collection (Continued),medium-runner,1,0.6,,,0.425,keep,"arid_shrubland: non-predator runner, bs 1.0 spd 6.0 (MEASURED); prep §3.2",0
RUT_AridShrubland,Massiff,massiff,Star Wars Animal Collection (Continued),medium-interface,0.8500000238418579,0.6,,,0.611,keep,"arid_shrubland: owner card 2026-09-09: Massiff to shrubland medium band; bs 0.85, spd 5.0 legal HERE (prep §3.2 tunnel-runner shape)",0
RUT_AridShrubland,Bantha,bantha,Star Wars Animal Collection (Continued),huge-grazer,4,0.5,,,0.5,keep,arid_shrubland: icon herd giant (prep §3.2),0
RUT_AridShrubland,Pufferpig,Pufferpig,Star Wars Animal Collection (Continued),small-runway,0.5,0.5,,,0.413,keep,"arid_shrubland: SW small non-predator, bs 0.5 (MEASURED)",0
RUT_AridShrubland,VAEWaste_Hydra,hydra,Vanilla Animals Expanded — Waste Animals,,0.3499999940395355,0.5,,,0.559,import,arid_shrubland: owner review 2026-09 (round2 move mapping): venomvine patch predator,0
RUT_AridShrubland,Anooba,anooba,Star Wars Animal Collection (Continued),medium-interface,0.949999988079071,0.4,,,0.574,adjust-keep,"arid_shrubland: interface killer, bs 0.95 spd 5.0 (MEASURED; prep §3.2); comm raised 0.16→0.4 absorbing its Desert eviction",0
RUT_AridShrubland,Corinathoth,corinathoth,Star Wars Animal Collection (Continued),huge-grazer,4,0.4,,,0.6,keep,"arid_shrubland: slow herd giant, bs 4.0 spd 2.0 (MEASURED); prep §3.2",0
