id,rimflow_item_id,prompt,canvas_w,canvas_h,reference,facings,style_notes,priority,background,channel,drawsize
webwork_ollathrix,OLLATHRIX_OWNER_SPECIES_1,"RimWorld top-down game animal sprite: the ollathrix, an owner-species spider of the Webwork jungle canopy, elephant-scaled body but built mostly of many sharp thin legs -- a low, wide, bone-white to dead-silk-cream body carried close to the ground under a spray of legs. Head carried forward and low, mouthparts held OPEN with a visible mouth-loom (the silk spins from the mouth, never the abdomen). Body colour is bone-white to dead-silk cream, matte, with NO abdomen marking at all -- the abdomen is smooth and faintly translucent, showing a darker gut-shadow through the shell. Chitin is hairless and glossy with a faint matte silk-dust bloom on the upper surfaces, no bristle tufts anywhere. Legs are pale with a dark blade-edge running the length of each foreleg, reading as weapons at a glance. A raised head-boss carries one pale ring of small, colourless, clustered-nowhere eyes -- it should read as functionally blind, not alert-eyed. Painterly rendered game art with real volume and specular highlight on the chitin, not a flat cartoon outline. No Earth-nameable silhouette -- not a tarantula, not a crab spider, not a wolf spider; and it must NOT read as blue-grey, must NOT carry a yellow-orange abdomen cross, must NOT have spiky bristle tufts, must NOT have blue-black legs, and must NOT have clustered black eyes -- those five marks belong to a different creature entirely and this sprite must be visibly distinct in all five.",512,512,,"south,east,north","MUST SHOW: bone-white/dead-silk body, smooth unmarked translucent abdomen w/ dark gut-shadow, hairless glossy chitin w/ silk-dust bloom, pale legs w/ dark blade-edge foreleg, one pale ring of small colourless eyes on raised head-boss (reads blind), head low/forward, mouthparts OPEN (mouth-loom visible), too many sharp legs under low wide body. HARD BAN: no blue-grey body, no yellow-orange abdomen cross, no bristle tufts, no blue-black legs, no clustered black eyes (all = the donor Wyyyschokk, must not resemble).",100,transparent,codex,5
webwork_ollathrix_egg,OLLATHRIX_OWNER_SPECIES_1,"RimWorld top-down game item sprite: the ollathrix egg, a single inert cargo egg roughly the size of two fists, a smuggler's-jackpot contraband object. Leathery bone-white shell (not tan, not cream-brown), faintly silk-dusted, oval and slightly irregular like a real egg rather than a perfect ellipse, no markings, no glow, no visible embryo or crack. Reads as precious contraband cargo -- something to be wrapped and carried, not a farm product. Painterly rendered game art with real volume and a soft specular highlight on the shell, not a flat cartoon outline. No Earth-nameable silhouette -- not a chicken egg, not an ostrich egg, not a dinosaur egg prop; keep the shell texture alien (fine silk-dust grain, not smooth calcium).",256,256,,,"MUST SHOW: leathery bone-white (NOT tan/cream-brown) shell, silk-dust texture, slightly irregular oval, inert/no crack/no glow. HARD BAN: no hatching crack, no embryo visibility, no Earth egg reference (chicken/ostrich/dinosaur prop).",100,transparent,codex,0.5
webwork_quarrok,WEBWORK_FAUNA_ROSTER_1,"RimWorld top-down game animal sprite: the quarrok, a broad low-slung jungle beetle always facing a line, mandibles wider than its head like a pair of shears. Slab-backed and unhurried, dull bronze-black armour under a fine dusting of pale silk lint. Heavily armoured about the head, short sturdy legs, body low and wide rather than tall. Painterly rendered game art with real volume and metallic-armour specular highlight, not a flat cartoon outline. No Earth-nameable silhouette -- not a scarab, not a stag beetle, not a rhinoceros beetle; keep the proportions and shear-jaw shape alien rather than a recognisable Earth beetle genus.",256,256,,"south,east,north","MUST SHOW: broad low-slung slab back, mandibles WIDER than head (shear-jaws), dull bronze-black armour, pale silk-lint dusting, always oriented toward a 'line'. HARD BAN: no scarab/stag-beetle/rhino-beetle silhouette.",100,transparent,codex,1.0
webwork_vennick,WEBWORK_FAUNA_ROSTER_1,"RimWorld top-down game animal sprite: the vennick, a fist-sized silk-runner egg-mite, pale grey body with a bone-white back that catches the gloom. Small, low, rounded body on quick short legs built for running along silk lines, no emphasised eyes, no aggression in the pose -- harmless and quick. Painterly rendered game art with real volume and a soft sheen on the bone-white back, not a flat cartoon outline. No Earth-nameable silhouette -- not a tick, not a woodlouse, not a hamster; keep the body plan alien and streamlined for line-running.",256,256,,"south,east,north","MUST SHOW: fist-sized, pale grey body, bone-white back, low rounded quick-legged silk-runner build. Intended to read as a moving stream when tiled/multiplied in-game -- keep silhouette simple and repeatable. HARD BAN: no tick/woodlouse/hamster silhouette.",100,transparent,codex,0.3
webwork_skennet,WEBWORK_FAUNA_ROSTER_1,"RimWorld top-down game animal sprite: the skennet, a nervous long-legged pale runner built for one desperate sprint, neck held low, body always caught mid-stride. Bone-pale hide, stilt-thin legs, small head carried low and forward, lean racing build with no bulk. Painterly rendered game art with real volume and a matte pale-hide shading, not a flat cartoon outline. No Earth-nameable silhouette -- not a gazelle, not a deer, not an ostrich; keep the leg count and head shape alien rather than a recognisable Earth runner.",256,256,,"south,east,north","MUST SHOW: long stilt legs, low neck, bone-pale hide, mid-stride nervous runner pose. HARD BAN: no gazelle/deer/ostrich silhouette.",100,transparent,codex,0.7
webwork_cravvet,WEBWORK_FAUNA_ROSTER_1,"RimWorld top-down game animal sprite: the cravvet, a squat knuckle-shaped armoured scuttler parked head-down over a stain, jaws built for cracking bone and broken armour. Mud-dark hard shell, domed and low, short thick legs, heavy cracking jaws visible from above. Painterly rendered game art with real volume and a hard-shell specular sheen, not a flat cartoon outline. No Earth-nameable silhouette -- not a crab, not a tortoise, not an armadillo; keep the dome and jaw shape alien rather than a recognisable Earth scavenger.",256,256,,"south,east,north","MUST SHOW: squat domed mud-dark shell, head-down parked posture, heavy cracking jaws. HARD BAN: no crab/tortoise/armadillo silhouette.",100,transparent,codex,0.6
webwork_sivvern,WEBWORK_FAUNA_ROSTER_1,"RimWorld top-down game animal sprite: the sivvern, a narrow swept-crescent dusk-flier with membranous grey wings, low and silent, never shown perched in the open. Slender body, taut grey membrane wings swept back in a crescent, small head, built for gliding low over a canopy. Painterly rendered game art with real volume and a soft translucent sheen on the membrane wings, not a flat cartoon outline. No Earth-nameable silhouette -- not a bat, not a swallow, not a dragonfly; keep the wing shape and body alien rather than a recognisable Earth flier.",256,256,,"south,east,north","MUST SHOW: narrow swept-crescent silhouette, membranous taut grey wings, low-flight/gliding pose. Grounded/base facing set only -- flight animation flip-book is separate owed work, not this commission. HARD BAN: no bat/swallow/dragonfly silhouette.",100,transparent,codex,0.6
webwork_kollavane,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the kollavane, a braided column of many young tree-trunks fused and grown as one -- not a single trunk but a standing braid of dozens of pale green whips fused into a dark trunk, new shoots erupting from the base while the crown's older wood dies black. Must visibly read as several ages of wood at once: pale living whip-growth at the base, dark aged wood in the crown, some of it dead-black. Tall canopy tree scale, the largest plant in this commission. Painterly rendered game art with real volume, bark texture and dappled highlight, not a flat cartoon outline. No Earth-nameable silhouette -- not a banyan, not a strangler fig, not a bundle of bamboo; keep the braided-trunk structure alien rather than a recognisable Earth tree form.",512,512,,,"MUST SHOW: braided column of many young trunks (several visible ages at once), pale living growth at base, dark/black dead wood in crown, tall canopy scale (largest plant in set). HARD BAN: no banyan/strangler-fig/bamboo-bundle silhouette.",100,transparent,codex,3.5
webwork_vessark,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the vessark, a muscular grey-green strangling cable as thick as a leg, shown coiled visibly AROUND a host trunk -- never freestanding, always wrapped constricting around something. Bark scarred where it constricts, taut coiling shape. Painterly rendered game art with real volume and a waxy coiled-bark texture, not a flat cartoon outline. No Earth-nameable silhouette -- not a strangler fig vine, not a python, not ivy; keep the coil and scarring alien rather than a recognisable Earth strangler vine.",256,256,,,"MUST SHOW: thick grey-green cable coiled visibly AROUND a host trunk (never freestanding), constriction scarring. HARD BAN: no strangler-fig-vine/python/ivy silhouette.",100,transparent,codex,1.5
webwork_tavrosk,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the tavrosk, a squat still-tree that is mostly trunk -- a glossy distended bottle-bole streaked with dried amber tap-runs where old cuts wept, under a thin ragged little crown. Looks kept and owned, like a barrel someone taps. Painterly rendered game art with real volume and a glossy swollen-bark specular sheen with visible amber drip-streaks, not a flat cartoon outline. No Earth-nameable silhouette -- not a baobab, not a bottle tree, not a barrel cactus; keep the bole shape alien rather than a recognisable Earth bottle-trunk tree.",256,256,,,"MUST SHOW: swollen glossy bottle-bole trunk, dried amber tap-run streaks, thin ragged crown, squat 'kept' look. HARD BAN: no baobab/bottle-tree/barrel-cactus silhouette.",100,transparent,codex,2.0
webwork_dulloth,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the dulloth, a canopy-sealing plant of broad rigid flat black-green leaf-panes held horizontally and edge to edge, the size of doors, meeting neighbouring leaves with almost no gap. Reads as a sealed dark-green ceiling/floor plane rather than a leafy plant. Painterly rendered game art with real volume, flat rigid leaf-pane shading and subtle panel seams, not a flat cartoon outline. No Earth-nameable silhouette -- not a banana leaf plant, not a giant taro, not a palm frond; keep the rigid flat-pane structure alien rather than a recognisable Earth broadleaf plant.",256,256,,,"MUST SHOW: broad rigid flat black-green leaf-panes held horizontal, edge-to-edge sealed-panel look, no droop. HARD BAN: no banana-leaf/taro/palm-frond silhouette.",100,transparent,codex,2.0
webwork_brimlock,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the brimlock, a leaning trunk swollen into a taut drum-tight water bladder, its skin stretched and traced with dark visible water-veins, faintly translucent where light reaches it -- a waterskin the size of a tree. Painterly rendered game art with real volume, a taut stretched-skin specular highlight and visible vein tracery, not a flat cartoon outline. No Earth-nameable silhouette -- not a baobab, not a barrel cactus, not a water balloon prop; keep the bladder-trunk alien rather than a recognisable Earth water-storing plant.",256,256,,,"MUST SHOW: leaning trunk swollen into a taut bladder, visible dark water-vein tracery, faint translucency where lit. HARD BAN: no baobab/barrel-cactus/balloon-prop silhouette.",100,transparent,codex,2.0
webwork_threllick,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the threllick, a dense surface-running root lattice with no upright part at all -- a mat of interlaced grey-brown slick roots running in visible strands across the ground between trunks, functioning as the jungle's ground plane rather than a standing plant. Painterly rendered game art with real volume, wet slick-root texture and interwoven strand shading, not a flat cartoon outline. No Earth-nameable silhouette -- not mangrove roots, not banyan roots, not kudzu; keep the lattice alien and fully ground-flat rather than a recognisable Earth root-mat.",256,256,,,"MUST SHOW: flat surface-running root lattice, NO upright growth at all, grey-brown slick interlaced strands, reads as ground/floor cover. HARD BAN: no mangrove-root/banyan-root/kudzu silhouette.",100,transparent,codex,0.5
webwork_sellith,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the sellith, a pale green weed growing only along a silk irrigation gutter line, hanging in neat fringes rooted into the drip below the line -- its shape is a hanging linear fringe, never a spreading patch. Painterly rendered game art with real volume and a damp fringed-frond shading, not a flat cartoon outline. No Earth-nameable silhouette -- not Spanish moss, not weeping willow fronds, not watercress; keep the linear hanging-fringe form alien rather than a recognisable Earth gutter weed.",256,256,,,"MUST SHOW: pale green fringe hanging in a straight LINE (never a patch/clump), rooted at the drip line. HARD BAN: no Spanish-moss/weeping-willow/watercress silhouette.",100,transparent,codex,0.6
webwork_varrisk,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the varrisk, a stiff knee-high dull green sedge, waxed against the heat, standing in an oddly EVEN, spaced, drilled arrangement that reads as planted rather than wild-grown. Painterly rendered game art with real volume and a waxy stiff-blade sheen, not a flat cartoon outline. No Earth-nameable silhouette -- not wheat, not pampas grass, not papyrus sedge; keep the blade shape alien rather than a recognisable Earth sedge or grain.",256,256,,,"MUST SHOW: stiff knee-high sedge, dull waxy green, oddly EVEN/drilled spacing (reads planted not wild). HARD BAN: no wheat/pampas-grass/papyrus silhouette.",100,transparent,codex,0.8
